     total_bill    tip     sex smoker   day    time  size  fraction
0         16.99   1.01  Female     No   Sun  Dinner     2  0.059447
1         10.34   1.66    Male     No   Sun  Dinner     3  0.160542
2         21.01   3.50    Male     No   Sun  Dinner     3  0.166587
3         23.68   3.31    Male     No   Sun  Dinner     2  0.139780
4         24.59   3.61  Female     No   Sun  Dinner     4  0.146808
5         25.29   4.71    Male     No   Sun  Dinner     4  0.186240
6          8.77   2.00    Male     No   Sun  Dinner     2  0.228050
7         26.88   3.12    Male     No   Sun  Dinner     4  0.116071
8         15.04   1.96    Male     No   Sun  Dinner     2  0.130319
9         14.78   3.23    Male     No   Sun  Dinner     2  0.218539
10        10.27   1.71    Male     No   Sun  Dinner     2  0.166504
11        35.26   5.00  Female     No   Sun  Dinner     4  0.141804
12        15.42   1.57    Male     No   Sun  Dinner     2  0.101816
13        18.43   3.00    Male     No   Sun  Dinner     4  0.162778
14        14.83   3.02  Female     No   Sun  Dinner     2  0.203641
15        21.58   3.92    Male     No   Sun  Dinner     2  0.181650
16        10.33   1.67  Female     No   Sun  Dinner     3  0.161665
17        16.29   3.71    Male     No   Sun  Dinner     3  0.227747
18        16.97   3.50  Female     No   Sun  Dinner     3  0.206246
19        20.65   3.35    Male     No   Sat  Dinner     3  0.162228
20        17.92   4.08    Male     No   Sat  Dinner     2  0.227679
21        20.29   2.75  Female     No   Sat  Dinner     2  0.135535
22        15.77   2.23  Female     No   Sat  Dinner     2  0.141408
23        39.42   7.58    Male     No   Sat  Dinner     4  0.192288
24        19.82   3.18    Male     No   Sat  Dinner     2  0.160444
25        17.81   2.34    Male     No   Sat  Dinner     4  0.131387
26        13.37   2.00    Male     No   Sat  Dinner     2  0.149589
27        12.69   2.00    Male     No   Sat  Dinner     2  0.157604
28        21.70   4.30    Male     No   Sat  Dinner     2  0.198157
29        19.65   3.00  Female     No   Sat  Dinner     2  0.152672
30         9.55   1.45    Male     No   Sat  Dinner     2  0.151832
31        18.35   2.50    Male     No   Sat  Dinner     4  0.136240
32        15.06   3.00  Female     No   Sat  Dinner     2  0.199203
33        20.69   2.45  Female     No   Sat  Dinner     4  0.118415
34        17.78   3.27    Male     No   Sat  Dinner     2  0.183915
35        24.06   3.60    Male     No   Sat  Dinner     3  0.149626
36        16.31   2.00    Male     No   Sat  Dinner     3  0.122624
37        16.93   3.07  Female     No   Sat  Dinner     3  0.181335
38        18.69   2.31    Male     No   Sat  Dinner     3  0.123596
39        31.27   5.00    Male     No   Sat  Dinner     3  0.159898
40        16.04   2.24    Male     No   Sat  Dinner     3  0.139651
